id,account_no,name,phone,id_card,branch,card_type,category,balance,trans_amount,trans_date,trans_type,memo
16,622202563928341,吴杰洋,15943506223,310115198103048277,农业银行广州分行,电子账户,A,25831.82,41423.49,2026-07-17,理财申购,柜面办理
17,622155387254546,严静博,13897978730,420102201212088807,工商银行北京分行,借记卡,B,185367.85,26273.62,2026-07-31,理财申购,自助设备
18,622848891360512,施子桂,13017683383,370202199712126284,工商银行南京分行,电子账户,B,151962.66,25737.27,2026-07-23,代扣,
19,621700173265505,钱怡丽,19982681051,370202199108135213,中信银行西安分行,储蓄卡,A,439291.35,12191.63,2026-08-10,代扣,
20,622188390248241,张磊明,15050453729,110101197111038992,中国银行杭州分行,一卡通,B,55119.55,12218.37,2026-08-07,存款,POS消费
21,622155498044922,吴楠娟,15062609101,610113198704162356,建设银行上海分行,一卡通,A,362112.88,48316.36,2026-07-26,转账,POS消费
22,622202259680009,郑英子,13904535179,510107196804157634,招商银行深圳分行,借记卡,A,434948.70,30195.53,2026-07-23,还款,批量代发
23,622155456884403,孔博欣,13986916057,510107197405220426,交通银行武汉分行,一卡通,B,214558.65,10581.69,2026-07-09,转账,柜面办理
24,622588096729644,尤超浩,13546819033,11010119950823881X,建设银行上海分行,借记卡,A,203576.27,35343.38,2026-07-12,理财申购,手机银行
25,622202054736696,华婷敏,15970240286,330106199001146134,农业银行广州分行,储蓄卡,B,87433.78,13706.29,2026-07-30,理财申购,自助设备
26,621700339819951,魏平欣,15953540113,610113196302059795,邮政储蓄成都分行,储蓄卡,B,364809.53,27620.29,2026-07-20,还款,
27,622202740746093,赵晨杰,19955099709,210102197110107183,招商银行深圳分行,借记卡,C,298379.73,23091.69,2026-08-09,工资入账,手机银行
28,622848472641464,张楠子,15028282994,210102199209161568,农业银行广州分行,借记卡,C,237282.66,47830.88,2026-07-01,工资入账,
29,622588364028610,许丽轩,18697249755,610113198405031292,农业银行广州分行,电子账户,C,7510.30,25627.52,2026-08-04,还款,POS消费
30,622188647922100,周磊楠,13921445595,210102199812096289,工商银行北京分行,电子账户,B,394414.37,13779.57,2026-07-27,转账,柜面办理
31,622202854975564,吕磊军,13949525498,330106196507049813,工商银行南京分行,一卡通,A,155500.56,12530.34,2026-07-07,消费,POS消费
32,622588427648809,张涵欣,13506382350,330106197004154325,招商银行深圳分行,储蓄卡,C,142474.01,5286.37,2026-07-03,存款,手机银行
33,622155015345880,秦婷杰,19954913113,370202196408056759,招商银行深圳分行,借记卡,A,372833.23,19956.72,2026-07-09,存款,POS消费
34,622588980760477,褚宇娟,13899874625,440305199401157692,邮政储蓄成都分行,借记卡,C,154270.22,2751.23,2026-07-11,代扣,
35,622188897325932,褚涵涛,15143816284,610113197711056194,中国银行杭州分行,信用卡,A,98312.87,45034.67,2026-07-14,取款,
36,622188133762792,吕杰强,15071709654,110101200210043249,邮政储蓄成都分行,储蓄卡,B,373837.70,32213.07,2026-07-13,消费,
37,622588533755127,尤雪艳,13578955088,440305201004225583,工商银行北京分行,借记卡,C,206391.65,15054.55,2026-07-17,取款,
38,622202955444765,姜丽楠,19994471364,370202199203159379,中国银行杭州分行,储蓄卡,C,159189.52,11227.32,2026-08-06,转账,手机银行
39,622848811713904,孙怡宇,18695610961,350203200306214623,中国银行杭州分行,借记卡,B,353863.03,4074.33,2026-07-05,工资入账,
40,621700872453793,魏子涛,13097562098,310115198210153734,招商银行深圳分行,一卡通,C,387300.42,23225.07,2026-07-26,转账,网上银行
41,622848055541558,许军博,15098670855,610113198311229775,工商银行北京分行,电子账户,C,361362.19,34840.12,2026-07-07,理财申购,
42,622155528022395,赵雨英,15063244141,61011319930125711X,中信银行西安分行,储蓄卡,B,107023.94,49309.00,2026-08-06,存款,自助设备
43,622155678899241,曹秀英,13807929705,420102197506068941,交通银行武汉分行,信用卡,B,197.21,38861.59,2026-08-08,存款,
44,622848426053652,孔刚英,15087339505,310115197410082761,交通银行武汉分行,信用卡,A,2858.78,30945.66,2026-08-02,取款,POS消费
45,622588779748971,张子洋,15040717417,350203200404125966,邮政储蓄成都分行,一卡通,A,167752.70,48019.91,2026-07-08,取款,手机银行
46,622202122613600,曹兰浩,18064151160,42010219620808640X,农业银行广州分行,借记卡,A,173087.98,1662.86,2026-07-27,理财申购,
47,621700334908451,吕娟勇,15877844567,210102197806307263,民生银行福州分行,借记卡,A,232258.99,6004.18,2026-07-06,代扣,网上银行
48,622848803831101,郑芳勇,13573321386,11010119710612217X,中信银行西安分行,储蓄卡,B,499259.47,18891.44,2026-07-23,转账,批量代发
49,622188834376389,尤兰娜,13585842636,440305196012074064,农业银行广州分行,电子账户,B,150594.57,4132.01,2026-07-02,理财申购,
50,622188224621450,孔军琳,18631275773,35020319801125189X,工商银行北京分行,借记卡,B,424231.42,44490.03,2026-08-08,取款,自助设备
51,622155349301619,钱敏桂,18048864882,42010219650227919X,工商银行北京分行,借记卡,C,97202.31,29761.23,2026-08-01,工资入账,
52,622588485422794,金浩欣,13570336132,420102196110047066,建设银行上海分行,电子账户,C,103686.41,5939.18,2026-07-25,转账,柜面办理
53,621700642024860,陈宇强,18090171210,110101196605179096,邮政储蓄成都分行,借记卡,C,433020.98,35497.12,2026-07-14,还款,网上银行
54,622202028064405,金然杰,19914877094,440305197603126350,建设银行上海分行,信用卡,A,475679.02,21490.09,2026-07-04,取款,柜面办理
55,622155009453311,褚涵娜,15170453928,510107199512057379,民生银行福州分行,储蓄卡,C,478184.39,19551.91,2026-08-06,理财申购,自助设备
56,622188611033618,严杰艳,15112784013,61011320060612636X,中信银行西安分行,借记卡,B,185600.91,14623.12,2026-07-05,存款,POS消费
57,622848606342243,钱桂勇,19949105744,420102200002255326,中国银行杭州分行,电子账户,C,222448.80,26334.51,2026-07-29,理财申购,柜面办理
58,622588459931185,李浩秀,13891895255,510107200605225752,中国银行杭州分行,一卡通,A,33221.08,23249.04,2026-07-17,消费,自助设备
59,622155629128443,周浩英,18860982498,440305199509199974,工商银行南京分行,储蓄卡,C,361072.46,23351.38,2026-08-04,还款,
60,622202430224001,周勇静,15190690556,110101201310104533,建设银行上海分行,信用卡,A,475962.14,24228.21,2026-07-10,存款,
61,622188276634375,陶娟怡,13046229351,210102196607177393,中国银行杭州分行,储蓄卡,B,2159.25,37199.00,2026-07-14,工资入账,自助设备
62,621700884970269,周丽伟,15922885913,370202197409090558,中国银行杭州分行,借记卡,B,68966.59,13908.31,2026-07-24,代扣,手机银行
63,622155061961775,许英娟,13844824663,110101201409129642,中国银行杭州分行,储蓄卡,C,266716.09,6235.33,2026-08-07,工资入账,批量代发
64,622848997514302,秦磊轩,18007874681,110101201006183185,工商银行南京分行,一卡通,A,418445.83,48491.80,2026-07-08,还款,批量代发
65,622848017185214,孔霞欣,13976785119,440305198712011602,中信银行西安分行,电子账户,B,311292.19,19227.75,2026-07-14,理财申购,
66,621700919967200,施敏浩,15912102795,110101198911146339,邮政储蓄成都分行,信用卡,C,366977.58,26788.55,2026-07-16,存款,批量代发
67,621700558764862,严平霞,15915191540,44030520080926047X,邮政储蓄成都分行,借记卡,A,484079.03,38543.24,2026-07-11,还款,批量代发
68,622588037155133,卫轩磊,15930538249,37020220081011758X,中信银行西安分行,电子账户,A,431334.62,45482.63,2026-07-26,理财申购,
69,622848540259604,杨刚怡,18822892380,11010119641101658X,民生银行福州分行,储蓄卡,A,461575.52,21298.73,2026-07-11,理财申购,POS消费
70,622588019102321,杨然涛,15192730667,310115197301029355,民生银行福州分行,信用卡,C,163161.89,6332.22,2026-07-17,代扣,网上银行
71,622155316284713,吴艳娟,18021823353,350203198103302295,中信银行西安分行,借记卡,B,418329.09,34239.90,2026-07-18,理财申购,网上银行
72,622848953702651,尤轩浩,18891067547,610113199212159489,交通银行武汉分行,借记卡,C,364454.36,24906.47,2026-08-05,转账,
73,622155836594520,杨帆英,18613288563,420102198211042271,工商银行北京分行,借记卡,B,337972.34,45959.70,2026-07-14,代扣,
74,622202778997653,金敏霞,15965108147,210102199301061981,民生银行福州分行,一卡通,A,59473.68,19304.91,2026-07-10,还款,网上银行
75,622848363427443,郑欣楠,13532355764,310115197101016322,邮政储蓄成都分行,电子账户,B,341923.75,3037.48,2026-07-21,工资入账,
76,621700408758837,吴兰然,18067426912,440305196206086354,交通银行武汉分行,信用卡,A,412666.49,23609.34,2026-07-10,存款,柜面办理
77,621700149351430,张娜雪,15984750852,310115199603123928,民生银行福州分行,储蓄卡,A,394203.89,6530.86,2026-07-02,转账,POS消费
78,621700173651272,魏强欣,18621759828,110101197801296710,工商银行南京分行,信用卡,C,209960.23,168.86,2026-07-01,存款,手机银行
79,622848508061109,冯静欣,18680969770,210102197304244776,中信银行西安分行,一卡通,A,442028.74,7212.03,2026-07-25,取款,自助设备
80,621700962223762,钱娜勇,13910020900,210102197902210322,交通银行武汉分行,一卡通,C,143968.38,10360.02,2026-07-01,转账,批量代发
81,622588537405294,卫丽杰,18072140804,510107196801030558,建设银行上海分行,一卡通,A,470061.33,11864.41,2026-07-21,取款,手机银行
82,622202176812395,钱丽轩,18039974777,37020219980309955X,交通银行武汉分行,储蓄卡,C,238308.97,30431.09,2026-07-07,转账,POS消费
83,622188045017008,陈琳雨,15845389527,610113198901022002,建设银行上海分行,借记卡,A,301003.68,42124.23,2026-08-04,还款,
84,621700432101123,张秀涵,15900707529,330106196911016263,中信银行西安分行,借记卡,A,221214.53,45612.01,2026-08-08,存款,批量代发
85,622202050091022,赵宇伟,19901482228,330106200608032681,邮政储蓄成都分行,电子账户,C,28585.18,46706.07,2026-07-18,转账,手机银行
86,622155597438230,施英霞,15120654398,210102199209229278,农业银行广州分行,借记卡,B,76315.05,19587.27,2026-07-17,消费,柜面办理
87,622155477676152,吴静超,13874181697,420102199411299201,中国银行杭州分行,借记卡,B,438956.00,27416.91,2026-08-09,取款,网上银行
88,621700877805609,杨兰娜,18081554580,510107199811050361,中信银行西安分行,储蓄卡,A,93452.07,6472.44,2026-07-04,取款,
89,622202316829574,卫娟勇,15109011554,420102196208025391,交通银行武汉分行,一卡通,B,364135.81,28663.79,2026-07-27,取款,
90,622848136827970,朱杰涵,15934095682,420102198704217682,邮政储蓄成都分行,信用卡,C,116819.21,49607.71,2026-07-01,还款,柜面办理
91,622588928646706,韩平磊,15920628591,440305197009126665,交通银行武汉分行,储蓄卡,C,8781.26,17479.78,2026-07-07,转账,手机银行
92,622202317817161,姜宇怡,19953098470,350203197707169793,工商银行北京分行,借记卡,C,446090.43,21764.82,2026-07-04,理财申购,POS消费
93,622155060668281,钱欣桂,18689022591,370202196710097375,建设银行上海分行,一卡通,C,151201.50,47823.06,2026-07-09,存款,
94,622202036138633,钱杰雨,15142579848,110101196507267703,中信银行西安分行,信用卡,A,269081.89,5676.19,2026-07-09,代扣,手机银行
95,622848656181460,姜楠明,15971193407,210102197101054067,工商银行北京分行,借记卡,B,272468.28,22276.15,2026-08-03,理财申购,
96,622188975101956,秦静洋,15816673530,440305198808241461,交通银行武汉分行,储蓄卡,A,200043.10,15579.54,2026-07-30,转账,自助设备
97,622588992101931,陈磊琳,18850912933,310115200806052125,工商银行北京分行,电子账户,A,146875.13,30935.79,2026-07-03,工资入账,
98,621700006632839,金帆强,18837501095,61011319901013307X,农业银行广州分行,电子账户,C,352748.16,3498.01,2026-08-06,还款,自助设备
99,622202085942184,魏欣怡,18805605832,330106197407131400,民生银行福州分行,电子账户,B,269472.35,33401.84,2026-07-29,工资入账,
100,621700279455226,严勇轩,18807550548,310115199802156626,农业银行广州分行,信用卡,B,14560.29,8012.03,2026-07-05,取款,柜面办理
